协议编号,借据编号,还款期数,还款日期,实还利息,实还本金,还款金额,还款标志
130750760627,106,2,2018-08-11,320.00,8000.00,8320.00,1
130750760627,106,3,2018-09-11,256.00,8000.00,8256.00,1
130750760627,106,4,2018-10-11,192.00,8000.00,8192.00,1
130750760627,106,5,2018-11-11,128.00,8000.00,8128.00,1
130750760627,106,6,2018-12-11,64.00,8000.00,8064.00,1
131575270762,119,1,2018-02-14,5200.00,43333.33,48533.33,1
131575270762,119,2,2018-03-14,4766.67,43333.33,48100.00,1
131575270762,119,3,2018-04-14,4333.33,43333.33,47666.67,1
131575270762,119,4,2018-05-14,3900.00,43333.33,47233.33,1
131575270762,119,5,2018-06-14,3466.67,43333.33,46800.00,1
131575270762,119,6,2018-07-14,3033.33,43333.33,46366.67,1
131575270762,119,7,2018-08-14,2600.00,43333.33,45933.33,1
130767863921,117,1,2018-02-07,1496.00,61837.32,63333.32,1
130622728768,118,1,2018-07-28,84.00,2333.33,2417.33,1
130622728768,118,2,2018-08-28,70.00,2333.33,2403.33,1
130622728768,118,3,2018-09-28,56.00,2333.33,2389.33,1
130622728768,118,4,2018-10-28,42.00,2333.33,2375.33,1
130622728768,118,5,2018-11-28,28.00,2333.33,2361.33,1
130622728768,118,6,2018-12-28,14.00,2333.33,2347.33,1
240411401783,112,1,2018-05-24,5730.00,39791.67,45521.67,1
140616951288,111,1,2018-05-24,5720.00,0.00,5720.00,1
191397128335,108,1,2018-07-18,135.00,771.39,906.39,1
191397128335,108,2,2018-08-18,128.06,778.33,906.39,1
061193894723,119,1,2018-08-29,1890.00,62374.18,64264.18,1
131091385479,119,1,2018-04-02,6846.00,0.00,6846.00,1
131091385479,119,2,2018-05-02,6846.00,0.00,6846.00,1
150470623609,117,1,2018-02-19,234.00,8666.67,8900.67,1
150470623609,117,2,2018-03-19,156.00,8666.67,8822.67,1
150470623609,117,3,2018-04-19,78.00,8666.67,8744.67,1
091012389913,115,1,2018-05-24,256.00,0.00,256.00,1
091012389913,115,2,2018-06-24,256.00,0.00,256.00,1
091012389913,115,3,2018-07-24,256.00,32000.00,32256.00,1
240454319218,114,1,2018-06-02,36.00,1988.05,2024.05,1
160240681878,100,1,2018-02-27,387.00,14205.10,14592.10,1
170960679367,110,1,2018-03-19,3600.00,200000.00,203600.00,1
170960679367,110,2,2018-04-19,2400.00,200000.00,202400.00,1
170960679367,110,3,2018-05-19,1200.00,200000.00,201200.00,1
240713769359,101,1,2018-07-05,990.00,5500.00,6490.00,1
240713769359,101,2,2018-08-05,935.00,5500.00,6435.00,1
240713769359,101,3,2018-09-05,880.00,5500.00,6380.00,1
240713769359,101,4,2018-10-05,825.00,5500.00,6325.00,1
240713769359,101,5,2018-11-05,770.00,5500.00,6270.00,1
240713769359,101,6,2018-12-05,715.00,5500.00,6215.00,1
150428558046,107,1,2018-05-24,891.00,0.00,891.00,1
150428558046,107,2,2018-06-24,891.00,0.00,891.00,1
150428558046,107,3,2018-07-24,891.00,99000.00,99891.00,1
200979417982,109,1,2018-08-17,234.00,8589.13,8823.13,1
061121355936,116,1,2018-02-04,15957.00,91178.45,107135.45,1
061121355936,116,2,2018-03-04,15136.39,91999.06,107135.45,1
061121355936,116,3,2018-04-04,14308.40,92827.05,107135.45,1
061121355936,116,4,2018-05-04,13472.96,93662.49,107135.45,1
061121355936,116,5,2018-06-04,12630.00,94505.45,107135.45,1
061121355936,116,6,2018-07-04,11779.45,95356.00,107135.45,1
061121355936,116,7,2018-08-04,10921.24,96214.21,107135.45,1
061121355936,116,8,2018-09-04,10055.32,97080.13,107135.45,1
061121355936,116,9,2018-10-04,9181.59,97953.86,107135.45,1
061121355936,116,10,2018-11-04,8300.01,98835.44,107135.45,1
061121355936,116,11,2018-12-04,7410.49,99724.96,107135.45,1
360211915988,114,1,2018-05-14,8150.00,67916.67,76066.67,1
360211915988,114,2,2018-06-14,7470.83,67916.67,75387.50,1
360211915988,114,3,2018-07-14,6791.67,67916.67,74708.33,1
360211915988,114,4,2018-08-14,6112.50,67916.67,74029.17,1
360211915988,114,5,2018-09-14,5433.33,67916.67,73350.00,1
360211915988,114,6,2018-10-14,4754.17,67916.67,72670.83,1
181309140314,115,1,2018-06-23,23710.00,186950.48,210660.48,1
181309140314,115,2,2018-07-23,21840.50,188819.98,210660.48,1
181309140314,115,3,2018-08-23,19952.30,190708.18,210660.48,1
181309140314,115,4,2018-09-23,18045.21,192615.27,210660.48,1
181309140314,115,5,2018-10-23,16119.06,194541.42,210660.48,1
181309140314,115,6,2018-11-23,14173.65,196486.83,210660.48,1
181309140314,115,7,2018-12-23,12208.78,198451.70,210660.48,1
250516966416,106,1,2018-05-09,747.00,4268.37,5015.37,1
250516966416,106,2,2018-06-09,708.58,4306.79,5015.37,1
250516966416,106,3,2018-07-09,669.82,4345.55,5015.37,1
250516966416,106,4,2018-08-09,630.71,4384.66,5015.37,1
250516966416,106,5,2018-09-09,591.25,4424.12,5015.37,1
200328252609,102,1,2018-03-02,2136.00,22250.00,24386.00,1
200328252609,102,2,2018-04-02,1958.00,22250.00,24208.00,1
200328252609,102,3,2018-05-02,1780.00,22250.00,24030.00,1
200328252609,102,4,2018-06-02,1602.00,22250.00,23852.00,1
200328252609,102,5,2018-07-02,1424.00,22250.00,23674.00,1
200328252609,102,6,2018-08-02,1246.00,22250.00,23496.00,1
200328252609,102,7,2018-09-02,1068.00,22250.00,23318.00,1
200328252609,102,8,2018-10-02,890.00,22250.00,23140.00,1
200328252609,102,9,2018-11-02,712.00,22250.00,22962.00,1
200328252609,102,10,2018-12-02,534.00,22250.00,22784.00,1
191097390452,116,1,2018-02-01,7340.00,61166.67,68506.67,1
191097390452,116,2,2018-03-01,6728.33,61166.67,67895.00,1
191097390452,116,3,2018-04-01,6116.67,61166.67,67283.33,1
191097390452,116,4,2018-05-01,5505.00,61166.67,66671.67,1
191097390452,116,5,2018-06-01,4893.33,61166.67,66060.00,1
191097390452,116,6,2018-07-01,4281.67,61166.67,65448.33,1
191097390452,116,7,2018-08-01,3670.00,61166.67,64836.67,1
191097390452,116,8,2018-09-01,3058.33,61166.67,64225.00,1
191097390452,116,9,2018-10-01,2446.67,61166.67,63613.33,1
191097390452,116,10,2018-11-01,1835.00,61166.67,63001.67,1
191097390452,116,11,2018-12-01,1223.33,61166.67,62390.00,1
061410942769,106,1,2018-04-04,1467.00,54333.33,55800.33,1
061410942769,106,2,2018-05-04,978.00,54333.33,55311.33,1
061410942769,106,3,2018-06-04,489.00,54333.33,54822.33,1
140552770118,109,1,2018-06-26,630.00,7500.00,8130.00,1
140552770118,109,2,2018-07-26,577.50,7500.00,8077.50,1
140552770118,109,3,2018-08-26,525.00,7500.00,8025.00,1
140552770118,109,4,2018-09-26,472.50,7500.00,7972.50,1
140552770118,109,5,2018-10-26,420.00,7500.00,7920.00,1
140552770118,109,6,2018-11-26,367.50,7500.00,7867.50,1
140552770118,109,7,2018-12-26,315.00,7500.00,7815.00,1
250714981449,112,1,2018-05-15,7532.00,179333.33,186865.33,1
250714981449,112,2,2018-06-15,6276.67,179333.33,185610.00,1
250714981449,112,3,2018-07-15,5021.33,179333.33,184354.67,1
250714981449,112,4,2018-08-15,3766.00,179333.33,183099.33,1
250714981449,112,5,2018-09-15,2510.67,179333.33,181844.00,1
250714981449,112,6,2018-10-15,1255.33,179333.33,180588.67,1
191060627328,116,1,2018-04-22,3448.00,0.00,3448.00,1
191060627328,116,2,2018-05-22,3448.00,0.00,3448.00,1
191060627328,116,3,2018-06-22,3448.00,431000.00,434448.00,1
050786839776,119,1,2018-03-07,2850.00,46326.28,49176.28,1
050786839776,119,2,2018-04-07,2386.74,46789.54,49176.28,1
050786839776,119,3,2018-05-07,1918.84,47257.44,49176.28,1
050786839776,119,4,2018-06-07,1446.27,47730.01,49176.28,1
111065798102,109,1,2018-07-04,1484.00,0.00,1484.00,1
111065798102,109,2,2018-08-04,1484.00,0.00,1484.00,1
111065798102,109,3,2018-09-04,1484.00,0.00,1484.00,1
111065798102,109,4,2018-10-04,1484.00,0.00,1484.00,1
271238588587,102,1,2018-03-09,430.00,1791.67,2221.67,1
271238588587,102,2,2018-04-09,412.08,1791.67,2203.75,1
271238588587,102,3,2018-05-09,394.17,1791.67,2185.83,1
271238588587,102,4,2018-06-09,376.25,1791.67,2167.92,1
271238588587,102,5,2018-07-09,358.33,1791.67,2150.00,1
271238588587,102,6,2018-08-09,340.42,1791.67,2132.08,1
271238588587,102,7,2018-09-09,322.50,1791.67,2114.17,1
271238588587,102,8,2018-10-09,304.58,1791.67,2096.25,1
120710329665,104,1,2018-04-02,684.00,2851.14,3535.14,1
120710329665,104,2,2018-05-02,658.34,2876.80,3535.14,1
120710329665,104,3,2018-06-02,632.45,2902.69,3535.14,1
120710329665,104,4,2018-07-02,606.32,2928.82,3535.14,1
120710329665,104,5,2018-08-02,579.96,2955.18,3535.14,1
120710329665,104,6,2018-09-02,553.37,2981.77,3535.14,1
120710329665,104,7,2018-10-02,526.53,3008.61,3535.14,1
120710329665,104,8,2018-11-02,499.45,3035.69,3535.14,1
120710329665,104,9,2018-12-02,472.13,3063.01,3535.14,1
171425075798,119,1,2018-05-24,153.00,0.00,153.00,1
171425075798,119,2,2018-06-24,153.00,0.00,153.00,1
171425075798,119,3,2018-07-24,153.00,0.00,153.00,1
171425075798,119,4,2018-08-24,153.00,0.00,153.00,1
171425075798,119,5,2018-09-24,153.00,0.00,153.00,1
171425075798,119,6,2018-10-24,153.00,17000.00,17153.00,1
460013476934,120,1,2018-04-25,5425.00,258333.33,263758.33,1
460013476934,120,2,2018-05-25,3616.67,258333.33,261950.00,1
460013476934,120,3,2018-06-25,1808.33,258333.33,260141.67,1
230217899936,119,1,2018-08-27,88.00,0.00,88.00,1
230217899936,119,2,2018-09-27,88.00,0.00,88.00,1
230217899936,119,3,2018-10-27,88.00,0.00,88.00,1
230217899936,119,4,2018-11-27,88.00,0.00,88.00,1
230217899936,119,5,2018-12-27,88.00,0.00,88.00,1
130544318978,116,1,2018-04-05,1352.00,13474.36,14826.36,1
130544318978,116,2,2018-05-05,1244.21,13582.15,14826.36,1
070583463214,115,1,2018-03-16,21690.00,200833.33,222523.33,1
070583463214,115,2,2018-04-16,19882.50,200833.33,220715.83,1
070583463214,115,3,2018-05-16,18075.00,200833.33,218908.33,1
181126859790,110,1,2018-02-14,5012.00,57404.21,62416.21,1
181126859790,110,2,2018-03-14,4610.17,57806.04,62416.21,1
181126859790,110,3,2018-04-14,4205.53,58210.68,62416.21,1
181126859790,110,4,2018-05-14,3798.05,58618.16,62416.21,1
181126859790,110,5,2018-06-14,3387.73,59028.48,62416.21,1
181126859790,110,6,2018-07-14,2974.53,59441.68,62416.21,1
150373240313,101,1,2018-02-26,30852.00,571333.33,602185.33,1
150373240313,101,2,2018-03-26,25710.00,571333.33,597043.33,1
150373240313,101,3,2018-04-26,20568.00,571333.33,591901.33,1
150373240313,101,4,2018-05-26,15426.00,571333.33,586759.33,1
150373240313,101,5,2018-06-26,10284.00,571333.33,581617.33,1
150373240313,101,6,2018-07-26,5142.00,571333.33,576475.33,1
181728200293,110,1,2018-05-28,847.00,0.00,847.00,1
181728200293,110,2,2018-06-28,847.00,0.00,847.00,1
181728200293,110,3,2018-07-28,847.00,0.00,847.00,1
181728200293,110,4,2018-08-28,847.00,0.00,847.00,1
181728200293,110,5,2018-09-28,847.00,0.00,847.00,1
181728200293,110,6,2018-10-28,847.00,0.00,847.00,1
181728200293,110,7,2018-11-28,847.00,0.00,847.00,1
181728200293,110,8,2018-12-28,847.00,0.00,847.00,1
181810255171,108,1,2018-08-03,32249.00,1535666.67,1567915.67,1
250456907425,111,1,2018-06-02,29110.00,0.00,29110.00,1
250456907425,111,2,2018-07-02,29110.00,0.00,29110.00,1
250456907425,111,3,2018-08-02,29110.00,0.00,29110.00,1
250456907425,111,4,2018-09-02,29110.00,0.00,29110.00,1
250456907425,111,5,2018-10-02,29110.00,0.00,29110.00,1
250456907425,111,6,2018-11-02,29110.00,0.00,29110.00,1
250456907425,111,7,2018-12-02,29110.00,0.00,29110.00,1
070568370451,114,1,2018-06-29,25613.00,152458.33,178071.33,1
070568370451,114,2,2018-07-29,24545.79,152458.33,177004.12,1
070568370451,114,3,2018-08-29,23478.58,152458.33,175936.92,1
070568370451,114,4,2018-09-29,22411.38,152458.33,174869.71,1
070568370451,114,5,2018-10-29,21344.17,152458.33,173802.50,1
070568370451,114,6,2018-11-29,20276.96,152458.33,172735.29,1
070568370451,114,7,2018-12-29,19209.75,152458.33,171668.08,1
140415198599,109,1,2018-08-28,80.00,0.00,80.00,1
140415198599,109,2,2018-09-28,80.00,0.00,80.00,1
140415198599,109,3,2018-10-28,80.00,0.00,80.00,1
140415198599,109,4,2018-11-28,80.00,0.00,80.00,1
140415198599,109,5,2018-12-28,80.00,0.00,80.00,1
350089616804,119,1,2018-06-20,231.00,1267.53,1498.53,1
350089616804,119,2,2018-07-20,222.13,1276.40,1498.53,1
350089616804,119,3,2018-08-20,213.19,1285.34,1498.53,1
350089616804,119,4,2018-09-20,204.20,1294.33,1498.53,1
350089616804,119,5,2018-10-20,195.13,1303.40,1498.53,1
350089616804,119,6,2018-11-20,186.01,1312.52,1498.53,1
140581943479,114,1,2018-06-26,3332.00,158666.67,161998.67,1
080205891038,110,1,2018-07-27,5628.00,0.00,5628.00,1
080205891038,110,2,2018-08-27,5628.00,0.00,5628.00,1
231796651346,116,1,2018-02-02,162.00,0.00,162.00,1
231796651346,116,2,2018-03-02,162.00,0.00,162.00,1
231796651346,116,3,2018-04-02,162.00,0.00,162.00,1
231796651346,116,4,2018-05-02,162.00,0.00,162.00,1
231796651346,116,5,2018-06-02,162.00,0.00,162.00,1
231796651346,116,6,2018-07-02,162.00,0.00,162.00,1
231796651346,116,7,2018-08-02,162.00,0.00,162.00,1
231796651346,116,8,2018-09-02,162.00,0.00,162.00,1
231796651346,116,9,2018-10-02,162.00,0.00,162.00,1
231796651346,116,10,2018-11-02,162.00,0.00,162.00,1
231796651346,116,11,2018-12-02,162.00,0.00,162.00,1
130482946095,119,1,2018-05-20,22296.00,0.00,22296.00,1
130482946095,119,2,2018-06-20,22296.00,0.00,22296.00,1
130482946095,119,3,2018-07-20,22296.00,0.00,22296.00,1
130482946095,119,4,2018-08-20,22296.00,0.00,22296.00,1
130482946095,119,5,2018-09-20,22296.00,0.00,22296.00,1
130482946095,119,6,2018-10-20,22296.00,2787000.00,2809296.00,1
240658931099,112,1,2018-05-13,546.00,25818.85,26364.85,1
050568691184,115,1,2018-02-20,60.00,3313.41,3373.41,1
210563665394,107,1,2018-08-18,5061.00,0.00,5061.00,1
210563665394,107,2,2018-09-18,5061.00,0.00,5061.00,1
210563665394,107,3,2018-10-18,5061.00,0.00,5061.00,1
041040436609,109,1,2018-05-12,20440.00,0.00,20440.00,1
041040436609,109,2,2018-06-12,20440.00,0.00,20440.00,1
041040436609,109,3,2018-07-12,20440.00,2044000.00,2064440.00,1
130750571547,103,1,2018-04-06,180.00,5940.40,6120.40,1
060909389475,116,1,2018-02-21,7024.00,33329.34,40353.34,1
060909389475,116,2,2018-03-21,6757.37,33595.97,40353.34,1
060909389475,116,3,2018-04-21,6488.60,33864.74,40353.34,1
060909389475,116,4,2018-05-21,6217.68,34135.66,40353.34,1
060909389475,116,5,2018-06-21,5944.59,34408.75,40353.34,1
060909389475,116,6,2018-07-21,5669.32,34684.02,40353.34,1
060909389475,116,7,2018-08-21,5391.85,34961.49,40353.34,1
060909389475,116,8,2018-09-21,5112.16,35241.18,40353.34,1
060909389475,116,9,2018-10-21,4830.23,35523.11,40353.34,1
120277085436,114,1,2018-02-15,210.00,3413.52,3623.52,1
120277085436,114,2,2018-03-15,175.86,3447.66,3623.52,1
120277085436,114,3,2018-04-15,141.39,3482.13,3623.52,1
120277085436,114,4,2018-05-15,106.57,3516.95,3623.52,1
131614271090,105,1,2018-05-12,174.00,0.00,174.00,1
131614271090,105,2,2018-06-12,174.00,0.00,174.00,1
131614271090,105,3,2018-07-12,174.00,0.00,174.00,1
131614271090,105,4,2018-08-12,174.00,0.00,174.00,1
131614271090,105,5,2018-09-12,174.00,0.00,174.00,1
131614271090,105,6,2018-10-12,174.00,0.00,174.00,1
131614271090,105,7,2018-11-12,174.00,0.00,174.00,1
131614271090,105,8,2018-12-12,174.00,0.00,174.00,1
041229790683,119,1,2018-02-06,12510.00,63778.54,76288.54,1
041229790683,119,2,2018-03-06,11872.21,64416.33,76288.54,1
041229790683,119,3,2018-04-06,11228.05,65060.49,76288.54,1
041229790683,119,4,2018-05-06,10577.45,65711.09,76288.54,1
041229790683,119,5,2018-06-06,9920.34,66368.20,76288.54,1
041229790683,119,6,2018-07-06,9256.65,67031.89,76288.54,1
041229790683,119,7,2018-08-06,8586.33,67702.21,76288.54,1
041229790683,119,8,2018-09-06,7909.31,68379.23,76288.54,1
041229790683,119,9,2018-10-06,7225.52,69063.02,76288.54,1
041229790683,119,10,2018-11-06,6534.89,69753.65,76288.54,1
041229790683,119,11,2018-12-06,5837.35,70451.19,76288.54,1
270873323389,114,1,2018-03-25,18810.00,0.00,18810.00,1
270873323389,114,2,2018-04-25,18810.00,0.00,18810.00,1
270873323389,114,3,2018-05-25,18810.00,0.00,18810.00,1
240279067663,100,1,2018-03-03,936.00,5777.78,6713.78,1
240279067663,100,2,2018-04-03,884.00,5777.78,6661.78,1
240279067663,100,3,2018-05-03,832.00,5777.78,6609.78,1
240279067663,100,4,2018-06-03,780.00,5777.78,6557.78,1
240279067663,100,5,2018-07-03,728.00,5777.78,6505.78,1
211065700729,119,1,2018-03-16,3208.00,20801.10,24009.10,1
211065700729,119,2,2018-04-16,3041.59,20967.51,24009.10,1
211065700729,119,3,2018-05-16,2873.85,21135.25,24009.10,1
211065700729,119,4,2018-06-16,2704.77,21304.33,24009.10,1
211065700729,119,5,2018-07-16,2534.33,21474.77,24009.10,1
211065700729,119,6,2018-08-16,2362.54,21646.56,24009.10,1
211065700729,119,7,2018-09-16,2189.36,21819.74,24009.10,1
271234889938,112,1,2018-05-12,2650.00,20894.93,23544.93,1
271234889938,112,2,2018-06-12,2441.05,21103.88,23544.93,1
271234889938,112,3,2018-07-12,2230.01,21314.92,23544.93,1
271234889938,112,4,2018-08-12,2016.86,21528.07,23544.93,1
271234889938,112,5,2018-09-12,1801.58,21743.35,23544.93,1
271234889938,112,6,2018-10-12,1584.15,21960.78,23544.93,1
271234889938,112,7,2018-11-12,1364.54,22180.39,23544.93,1
271234889938,112,8,2018-12-12,1142.74,22402.19,23544.93,1
231823608618,101,1,2018-02-09,920.00,0.00,920.00,1
231823608618,101,2,2018-03-09,920.00,0.00,920.00,1
231823608618,101,3,2018-04-09,920.00,0.00,920.00,1
231823608618,101,4,2018-05-09,920.00,0.00,920.00,1
231823608618,101,5,2018-06-09,920.00,0.00,920.00,1
231823608618,101,6,2018-07-09,920.00,0.00,920.00,1
231823608618,101,7,2018-08-09,920.00,0.00,920.00,1
150741709789,116,1,2018-06-30,10662.00,69060.09,79722.09,1
190749437202,105,1,2018-05-02,6957.00,128833.33,135790.33,1
190749437202,105,2,2018-06-02,5797.50,128833.33,134630.83,1
190749437202,105,3,2018-07-02,4638.00,128833.33,133471.33,1
190749437202,105,4,2018-08-02,3478.50,128833.33,132311.83,1
190749437202,105,5,2018-09-02,2319.00,128833.33,131152.33,1
190749437202,105,6,2018-10-02,1159.50,128833.33,129992.83,1
231026230168,104,1,2018-06-29,2555.00,60833.33,63388.33,1
231026230168,104,2,2018-07-29,2129.17,60833.33,62962.50,1
231026230168,104,3,2018-08-29,1703.33,60833.33,62536.67,1
231026230168,104,4,2018-09-29,1277.50,60833.33,62110.83,1
231026230168,104,5,2018-10-29,851.67,60833.33,61685.00,1
231026230168,104,6,2018-11-29,425.83,60833.33,61259.17,1
201775262853,103,1,2018-06-13,3534.00,31085.00,34619.00,1
201775262853,103,2,2018-07-13,3347.49,31271.51,34619.00,1
201775262853,103,3,2018-08-13,3159.86,31459.14,34619.00,1
201775262853,103,4,2018-09-13,2971.11,31647.89,34619.00,1
201775262853,103,5,2018-10-13,2781.22,31837.78,34619.00,1
201775262853,103,6,2018-11-13,2590.19,32028.81,34619.00,1
201775262853,103,7,2018-12-13,2398.02,32220.98,34619.00,1
260212545022,106,1,2018-04-30,430.00,1791.67,2221.67,1
260212545022,106,2,2018-05-30,412.08,1791.67,2203.75,1
260212545022,106,3,2018-06-30,394.17,1791.67,2185.83,1
260212545022,106,4,2018-07-30,376.25,1791.67,2167.92,1
260212545022,106,5,2018-08-30,358.33,1791.67,2150.00,1
260212545022,106,6,2018-09-30,340.42,1791.67,2132.08,1
260212545022,106,7,2018-10-30,322.50,1791.67,2114.17,1
260212545022,106,8,2018-11-30,304.58,1791.67,2096.25,1
260212545022,106,9,2018-12-30,286.67,1791.67,2078.33,1
060870448150,106,1,2018-08-20,133.00,1583.33,1716.33,1
060870448150,106,2,2018-09-20,121.92,1583.33,1705.25,1
060870448150,106,3,2018-10-20,110.83,1583.33,1694.17,1
060870448150,106,4,2018-11-20,99.75,1583.33,1683.08,1
060870448150,106,5,2018-12-20,88.67,1583.33,1672.00,1
300396773298,114,1,2018-05-07,78.00,2134.39,2212.39,1
300396773298,114,2,2018-06-07,65.19,2147.20,2212.39,1
300396773298,114,3,2018-07-07,52.31,2160.08,2212.39,1
300396773298,114,4,2018-08-07,39.35,2173.04,2212.39,1
170800131441,111,1,2018-05-01,170.00,630.25,800.25,1
071215382077,101,1,2018-02-20,136.00,5621.57,5757.57,1
201112677485,113,1,2018-08-01,5792.00,0.00,5792.00,1
201112677485,113,2,2018-09-01,5792.00,0.00,5792.00,1
201112677485,113,3,2018-10-01,5792.00,724000.00,729792.00,1
250965104431,119,1,2018-04-14,114.00,791.67,905.67,1
250965104431,119,2,2018-05-14,109.25,791.67,900.92,1
250965104431,119,3,2018-06-14,104.50,791.67,896.17,1
250965104431,119,4,2018-07-14,99.75,791.67,891.42,1
250965104431,119,5,2018-08-14,95.00,791.67,886.67,1
250965104431,119,6,2018-09-14,90.25,791.67,881.92,1
250965104431,119,7,2018-10-14,85.50,791.67,877.17,1
250965104431,119,8,2018-11-14,80.75,791.67,872.42,1
250965104431,119,9,2018-12-14,76.00,791.67,867.67,1
131255054870,109,1,2018-05-01,576.00,5333.33,5909.33,1
151192137201,120,1,2018-05-21,207.00,862.85,1069.85,1
151192137201,120,2,2018-06-21,199.23,870.62,1069.85,1
151192137201,120,3,2018-07-21,191.40,878.45,1069.85,1
131124944364,112,1,2018-03-16,670.00,3415.80,4085.80,1
131124944364,112,2,2018-04-16,635.84,3449.96,4085.80,1
131124944364,112,3,2018-05-16,601.34,3484.46,4085.80,1
131124944364,112,4,2018-06-16,566.50,3519.30,4085.80,1
131124944364,112,5,2018-07-16,531.30,3554.50,4085.80,1
131124944364,112,6,2018-08-16,495.76,3590.04,4085.80,1
131124944364,112,7,2018-09-16,459.86,3625.94,4085.80,1
131124944364,112,8,2018-10-16,423.60,3662.20,4085.80,1
131124944364,112,9,2018-11-16,386.98,3698.82,4085.80,1
131124944364,112,10,2018-12-16,349.99,3735.81,4085.80,1
151168617093,117,1,2018-08-28,43605.00,789521.16,833126.16,1
300839953969,114,1,2018-04-04,21714.00,0.00,21714.00,1
300839953969,114,2,2018-05-04,21714.00,0.00,21714.00,1
300839953969,114,3,2018-06-04,21714.00,0.00,21714.00,1
300839953969,114,4,2018-07-04,21714.00,0.00,21714.00,1
300839953969,114,5,2018-08-04,21714.00,0.00,21714.00,1
111769814415,119,1,2018-08-11,15930.00,0.00,15930.00,1
111769814415,119,2,2018-09-11,15930.00,0.00,15930.00,1
111769814415,119,3,2018-10-11,15930.00,1593000.00,1608930.00,1
201027127603,107,1,2018-07-23,54.00,250.00,304.00,1
201027127603,107,2,2018-08-23,51.75,250.00,301.75,1
201027127603,107,3,2018-09-23,49.50,250.00,299.50,1
201027127603,107,4,2018-10-23,47.25,250.00,297.25,1
201027127603,107,5,2018-11-23,45.00,250.00,295.00,1
201027127603,107,6,2018-12-23,42.75,250.00,292.75,1
040862142721,117,1,2018-07-15,2392.00,23839.26,26231.26,1
040862142721,117,2,2018-08-15,2201.29,24029.97,26231.26,1
040862142721,117,3,2018-09-15,2009.05,24222.21,26231.26,1
040862142721,117,4,2018-10-15,1815.27,24415.99,26231.26,1
040862142721,117,5,2018-11-15,1619.94,24611.32,26231.26,1
040862142721,117,6,2018-12-15,1423.05,24808.21,26231.26,1
030286077906,120,1,2018-02-21,632.00,4388.89,5020.89,1
030286077906,120,2,2018-03-21,596.89,4388.89,4985.78,1
030286077906,120,3,2018-04-21,561.78,4388.89,4950.67,1
030286077906,120,4,2018-05-21,526.67,4388.89,4915.56,1
030286077906,120,5,2018-06-21,491.56,4388.89,4880.44,1
030286077906,120,6,2018-07-21,456.44,4388.89,4845.33,1
030286077906,120,7,2018-08-21,421.33,4388.89,4810.22,1
030286077906,120,8,2018-09-21,386.22,4388.89,4775.11,1
180526808531,103,1,2018-08-03,5220.00,0.00,5220.00,1
180526808531,103,2,2018-09-03,5220.00,0.00,5220.00,1
180526808531,103,3,2018-10-03,5220.00,0.00,5220.00,1
180526808531,103,4,2018-11-03,5220.00,0.00,5220.00,1
180526808531,103,5,2018-12-03,5220.00,0.00,5220.00,1
111794187492,103,1,2018-07-11,744.00,0.00,744.00,1
111794187492,103,2,2018-08-11,744.00,0.00,744.00,1
130997839710,118,1,2018-04-13,5382.00,297213.15,302595.15,1
130926366994,116,1,2018-04-09,18.00,0.00,18.00,1
130926366994,116,2,2018-05-09,18.00,0.00,18.00,1
130926366994,116,3,2018-06-09,18.00,0.00,18.00,1
