协议编号,借据编号,还款期数,应还日期,欠还利息,欠还本金,欠还本息,还款标志
120710329665,104,4,2018-07-02,606.32,2928.82,3535.14,3
120710329665,104,5,2018-08-02,579.96,2955.18,3535.14,3
120710329665,104,6,2018-09-02,553.37,2981.77,3535.14,3
120710329665,104,7,2018-10-02,526.53,3008.61,3535.14,3
120710329665,104,8,2018-11-02,499.45,3035.69,3535.14,3
120710329665,104,9,2018-12-02,472.13,3063.01,3535.14,3
420047083119,117,6,2018-09-30,280.00,40000.00,40280.00,3
190782238045,104,8,2018-11-30,2970.00,0.00,2970.00,3
460013476934,120,3,2018-06-25,1808.33,258333.33,260141.67,3
130544318978,116,4,2018-07-05,1026.02,13800.34,14826.36,3
130544318978,116,5,2018-08-05,915.62,13910.74,14826.36,3
130544318978,116,6,2018-09-05,804.33,14022.03,14826.36,3
130544318978,116,7,2018-10-05,692.16,14134.20,14826.36,3
130544318978,116,8,2018-11-05,579.08,14247.28,14826.36,3
130544318978,116,9,2018-12-05,465.10,14361.26,14826.36,3
070583463214,115,2,2018-04-16,19882.50,200833.33,220715.83,3
070583463214,115,3,2018-05-16,18075.00,200833.33,218908.33,3
070583463214,115,4,2018-06-16,16267.50,200833.33,217100.83,3
070583463214,115,5,2018-07-16,14460.00,200833.33,215293.33,3
070583463214,115,6,2018-08-16,12652.50,200833.33,213485.83,3
070583463214,115,7,2018-09-16,10845.00,200833.33,211678.33,3
070583463214,115,8,2018-10-16,9037.50,200833.33,209870.83,3
070583463214,115,9,2018-11-16,7230.00,200833.33,208063.33,3
070583463214,115,10,2018-12-16,5422.50,200833.33,206255.83,3
090413858046,113,5,2018-10-04,1060.00,0.00,1060.00,3
090413858046,113,6,2018-11-04,1060.00,106000.00,107060.00,3
181126859790,110,1,2018-02-14,5012.00,57404.21,62416.21,3
181126859790,110,2,2018-03-14,4610.17,57806.04,62416.21,3
181126859790,110,3,2018-04-14,4205.53,58210.68,62416.21,3
181126859790,110,4,2018-05-14,3798.05,58618.16,62416.21,3
181126859790,110,5,2018-06-14,3387.73,59028.48,62416.21,3
181126859790,110,6,2018-07-14,2974.53,59441.68,62416.21,3
181126859790,110,7,2018-08-14,2558.44,59857.77,62416.21,3
181126859790,110,8,2018-09-14,2139.43,60276.78,62416.21,3
181126859790,110,9,2018-10-14,1717.49,60698.72,62416.21,3
181126859790,110,10,2018-11-14,1292.60,61123.61,62416.21,3
181126859790,110,11,2018-12-14,864.74,61551.47,62416.21,3
181810255171,108,3,2018-10-03,10749.67,1535666.67,1546416.33,3
250456907425,111,1,2018-06-02,29110.00,0.00,29110.00,3
250456907425,111,2,2018-07-02,29110.00,0.00,29110.00,3
250456907425,111,3,2018-08-02,29110.00,0.00,29110.00,3
250456907425,111,4,2018-09-02,29110.00,0.00,29110.00,3
250456907425,111,5,2018-10-02,29110.00,0.00,29110.00,3
250456907425,111,6,2018-11-02,29110.00,0.00,29110.00,3
250456907425,111,7,2018-12-02,29110.00,0.00,29110.00,3
070568370451,114,2,2018-07-29,24545.79,152458.33,177004.12,3
070568370451,114,3,2018-08-29,23478.58,152458.33,175936.92,3
070568370451,114,4,2018-09-29,22411.38,152458.33,174869.71,3
070568370451,114,5,2018-10-29,21344.17,152458.33,173802.50,3
070568370451,114,6,2018-11-29,20276.96,152458.33,172735.29,3
070568370451,114,7,2018-12-29,19209.75,152458.33,171668.08,3
350089616804,119,4,2018-09-20,204.20,1294.33,1498.53,3
350089616804,119,5,2018-10-20,195.13,1303.40,1498.53,3
350089616804,119,6,2018-11-20,186.01,1312.52,1498.53,3
350089616804,119,7,2018-12-20,176.82,1321.71,1498.53,3
231796651346,116,11,2018-12-02,162.00,0.00,162.00,3
210563665394,107,3,2018-10-18,5061.00,0.00,5061.00,3
210563665394,107,4,2018-11-18,5061.00,0.00,5061.00,3
210563665394,107,5,2018-12-18,5061.00,0.00,5061.00,3
070489378463,105,1,2018-06-01,1680.00,13333.39,15013.39,3
070489378463,105,2,2018-07-01,1586.67,13333.33,14920.00,3
070489378463,105,3,2018-08-01,1493.33,13333.33,14826.67,3
070489378463,105,4,2018-09-01,1400.00,13333.33,14733.33,3
070489378463,105,5,2018-10-01,1306.67,13333.33,14640.00,3
070489378463,105,6,2018-11-01,1213.33,13333.33,14546.67,3
070489378463,105,7,2018-12-01,1120.00,13333.33,14453.33,3
290596260453,110,5,2018-08-05,101.12,856.85,957.97,3
290596260453,110,6,2018-09-05,94.27,863.70,957.97,3
290596260453,110,7,2018-10-05,87.36,870.61,957.97,3
290596260453,110,8,2018-11-05,80.39,877.58,957.97,3
290596260453,110,9,2018-12-05,73.37,884.60,957.97,3
271234889938,112,7,2018-11-12,1364.54,22180.39,23544.93,3
271234889938,112,8,2018-12-12,1142.74,22402.19,23544.93,3
231823608618,101,6,2018-07-09,920.00,0.00,920.00,3
231823608618,101,7,2018-08-09,920.00,0.00,920.00,3
231823608618,101,8,2018-09-09,920.00,0.00,920.00,3
231823608618,101,9,2018-10-09,920.00,0.00,920.00,3
231823608618,101,10,2018-11-09,920.00,0.00,920.00,3
231823608618,101,11,2018-12-09,920.00,0.00,920.00,3
150741709789,116,2,2018-07-31,10247.64,69474.45,79722.09,3
150741709789,116,3,2018-08-31,9830.79,69891.30,79722.09,3
150741709789,116,4,2018-09-30,9411.45,70310.64,79722.09,3
150741709789,116,5,2018-10-31,8989.58,70732.51,79722.09,3
150741709789,116,6,2018-11-30,8565.19,71156.90,79722.09,3
231026230168,104,2,2018-07-29,2129.17,60833.33,62962.50,3
231026230168,104,3,2018-08-29,1703.33,60833.33,62536.67,3
231026230168,104,4,2018-09-29,1277.50,60833.33,62110.83,3
231026230168,104,5,2018-10-29,851.67,60833.33,61685.00,3
231026230168,104,6,2018-11-29,425.83,60833.33,61259.17,3
201775262853,103,5,2018-10-13,2781.22,31837.78,34619.00,3
201775262853,103,6,2018-11-13,2590.19,32028.81,34619.00,3
201775262853,103,7,2018-12-13,2398.02,32220.98,34619.00,3
260212545022,106,3,2018-06-30,394.17,1791.67,2185.83,3
260212545022,106,4,2018-07-30,376.25,1791.67,2167.92,3
260212545022,106,5,2018-08-30,358.33,1791.67,2150.00,3
260212545022,106,6,2018-09-30,340.42,1791.67,2132.08,3
260212545022,106,7,2018-10-30,322.50,1791.67,2114.17,3
260212545022,106,8,2018-11-30,304.58,1791.67,2096.25,3
260212545022,106,9,2018-12-30,286.67,1791.67,2078.33,3
090880141739,110,2,2018-09-04,187.00,1222.22,1409.22,3
090880141739,110,3,2018-10-04,176.00,1222.22,1398.22,3
090880141739,110,4,2018-11-04,165.00,1222.22,1387.22,3
090880141739,110,5,2018-12-04,154.00,1222.22,1376.22,3
260552161531,118,7,2018-08-13,10837.50,60208.33,71045.83,3
260552161531,118,8,2018-09-13,10235.42,60208.33,70443.75,3
260552161531,118,9,2018-10-13,9633.33,60208.33,69841.67,3
260552161531,118,10,2018-11-13,9031.25,60208.33,69239.58,3
260552161531,118,11,2018-12-13,8429.17,60208.33,68637.50,3
170800131441,111,5,2018-09-01,144.41,655.84,800.25,3
170800131441,111,6,2018-10-01,137.85,662.40,800.25,3
170800131441,111,7,2018-11-01,131.23,669.02,800.25,3
170800131441,111,8,2018-12-01,124.54,675.71,800.25,3
250965104431,119,1,2018-04-14,114.00,791.59,905.59,3
250965104431,119,2,2018-05-14,109.25,791.67,900.92,3
250965104431,119,3,2018-06-14,104.50,791.67,896.17,3
250965104431,119,4,2018-07-14,99.75,791.67,891.42,3
250965104431,119,5,2018-08-14,95.00,791.67,886.67,3
250965104431,119,6,2018-09-14,90.25,791.67,881.92,3
250965104431,119,7,2018-10-14,85.50,791.67,877.17,3
250965104431,119,8,2018-11-14,80.75,791.67,872.42,3
250965104431,119,9,2018-12-14,76.00,791.67,867.67,3
131255054870,109,3,2018-07-01,512.00,5333.33,5845.33,3
131255054870,109,4,2018-08-01,480.00,5333.33,5813.33,3
131255054870,109,5,2018-09-01,448.00,5333.33,5781.33,3
131255054870,109,6,2018-10-01,416.00,5333.33,5749.33,3
131255054870,109,7,2018-11-01,384.00,5333.33,5717.33,3
131255054870,109,8,2018-12-01,352.00,5333.33,5685.33,3
151192137201,120,3,2018-07-21,191.40,878.45,1069.85,3
151192137201,120,4,2018-08-21,183.49,886.36,1069.85,3
151192137201,120,5,2018-09-21,175.52,894.33,1069.85,3
151192137201,120,6,2018-10-21,167.47,902.38,1069.85,3
151192137201,120,7,2018-11-21,159.35,910.50,1069.85,3
151192137201,120,8,2018-12-21,151.15,918.70,1069.85,3
131124944364,112,8,2018-10-16,423.60,3662.20,4085.80,3
131124944364,112,9,2018-11-16,386.98,3698.82,4085.80,3
131124944364,112,10,2018-12-16,349.99,3735.81,4085.80,3
151168617093,117,3,2018-10-28,29329.67,803796.49,833126.16,3
151168617093,117,4,2018-11-28,22095.50,811030.66,833126.16,3
151168617093,117,5,2018-12-28,14796.22,818329.94,833126.16,3
300839953969,114,4,2018-07-04,21714.00,0.00,21714.00,3
300839953969,114,5,2018-08-04,21714.00,0.00,21714.00,3
300839953969,114,6,2018-09-04,21714.00,0.00,21714.00,3
300839953969,114,7,2018-10-04,21714.00,0.00,21714.00,3
300839953969,114,8,2018-11-04,21714.00,0.00,21714.00,3
300839953969,114,9,2018-12-04,21714.00,0.00,21714.00,3
130926366994,116,1,2018-04-09,18.00,0.00,18.00,3
130926366994,116,2,2018-05-09,18.00,0.00,18.00,3
130926366994,116,3,2018-06-09,18.00,0.00,18.00,3
130926366994,116,4,2018-07-09,18.00,0.00,18.00,3
130926366994,116,5,2018-08-09,18.00,0.00,18.00,3
130926366994,116,6,2018-09-09,18.00,2000.00,2018.00,3
060878075089,106,4,2018-06-18,1584.00,0.00,1584.00,3
060878075089,106,5,2018-07-18,1584.00,0.00,1584.00,3
060878075089,106,6,2018-08-18,1584.00,0.00,1584.00,3
060878075089,106,7,2018-09-18,1584.00,0.00,1584.00,3
060878075089,106,8,2018-10-18,1584.00,0.00,1584.00,3
060878075089,106,9,2018-11-18,1584.00,0.00,1584.00,3
060878075089,106,10,2018-12-18,1584.00,0.00,1584.00,3
370029846052,120,1,2018-02-12,329.00,2459.18,2788.18,3
370029846052,120,2,2018-03-12,311.79,2476.39,2788.18,3
370029846052,120,3,2018-04-12,294.45,2493.73,2788.18,3
370029846052,120,4,2018-05-12,276.99,2511.19,2788.18,3
370029846052,120,5,2018-06-12,259.42,2528.76,2788.18,3
370029846052,120,6,2018-07-12,241.72,2546.46,2788.18,3
370029846052,120,7,2018-08-12,223.89,2564.29,2788.18,3
370029846052,120,8,2018-09-12,205.94,2582.24,2788.18,3
370029846052,120,9,2018-10-12,187.86,2600.32,2788.18,3
370029846052,120,10,2018-11-12,169.66,2618.52,2788.18,3
370029846052,120,11,2018-12-12,151.33,2636.85,2788.18,3
120983743182,110,1,2018-05-23,120.00,0.00,120.00,3
120983743182,110,2,2018-06-23,120.00,0.00,120.00,3
120983743182,110,3,2018-07-23,120.00,0.00,120.00,3
120983743182,110,4,2018-08-23,120.00,0.00,120.00,3
120983743182,110,5,2018-09-23,120.00,0.00,120.00,3
120983743182,110,6,2018-10-23,120.00,0.00,120.00,3
120983743182,110,7,2018-11-23,120.00,0.00,120.00,3
120983743182,110,8,2018-12-23,120.00,0.00,120.00,3
191350995813,120,2,2018-09-30,3582.44,254995.86,258578.30,3
191350995813,120,3,2018-10-30,1797.46,256780.84,258578.30,3
230224376707,101,4,2018-08-13,990.00,0.00,990.00,3
230224376707,101,5,2018-09-13,990.00,0.00,990.00,3
230224376707,101,6,2018-10-13,990.00,165000.00,165990.00,3
171044986653,114,4,2018-07-07,1660.00,0.00,1660.00,3
171044986653,114,5,2018-08-07,1660.00,0.00,1660.00,3
171044986653,114,6,2018-09-07,1660.00,166000.00,167660.00,3
231342084428,102,1,2018-06-18,560.00,3888.87,4448.87,3
231342084428,102,2,2018-07-18,528.89,3888.89,4417.78,3
231342084428,102,3,2018-08-18,497.78,3888.89,4386.67,3
231342084428,102,4,2018-09-18,466.67,3888.89,4355.56,3
231342084428,102,5,2018-10-18,435.56,3888.89,4324.44,3
231342084428,102,6,2018-11-18,404.44,3888.89,4293.33,3
231342084428,102,7,2018-12-18,373.33,3888.89,4262.22,3
060725412241,110,4,2018-06-18,1520.00,16888.89,18408.89,3
060725412241,110,5,2018-07-18,1418.67,16888.89,18307.56,3
060725412241,110,6,2018-08-18,1317.33,16888.89,18206.22,3
060725412241,110,7,2018-09-18,1216.00,16888.89,18104.89,3
060725412241,110,8,2018-10-18,1114.67,16888.89,18003.56,3
060725412241,110,9,2018-11-18,1013.33,16888.89,17902.22,3
060725412241,110,10,2018-12-18,912.00,16888.89,17800.89,3
400028252861,104,1,2018-04-19,1790.00,59666.66,61456.66,3
400028252861,104,2,2018-05-19,1193.33,59666.67,60860.00,3
400028252861,104,3,2018-06-19,596.67,59666.67,60263.33,3
202039716000,113,8,2018-09-26,3030.00,0.00,3030.00,3
202039716000,113,9,2018-10-26,3030.00,0.00,3030.00,3
202039716000,113,10,2018-11-26,3030.00,0.00,3030.00,3
202039716000,113,11,2018-12-26,3030.00,0.00,3030.00,3
410083703129,118,3,2018-08-08,90.00,15000.00,15090.00,3
160435901579,110,3,2018-05-02,4012.88,20943.69,24956.57,3
160435901579,110,4,2018-06-02,3845.33,21111.24,24956.57,3
160435901579,110,5,2018-07-02,3676.44,21280.13,24956.57,3
160435901579,110,6,2018-08-02,3506.20,21450.37,24956.57,3
160435901579,110,7,2018-09-02,3334.60,21621.97,24956.57,3
160435901579,110,8,2018-10-02,3161.62,21794.95,24956.57,3
160435901579,110,9,2018-11-02,2987.26,21969.31,24956.57,3
160435901579,110,10,2018-12-02,2811.51,22145.06,24956.57,3
231033961730,101,7,2018-08-14,5643.00,34833.33,40476.33,3
231033961730,101,8,2018-09-14,5329.50,34833.33,40162.83,3
231033961730,101,9,2018-10-14,5016.00,34833.33,39849.33,3
231033961730,101,10,2018-11-14,4702.50,34833.33,39535.83,3
231033961730,101,11,2018-12-14,4389.00,34833.33,39222.33,3
260357179975,112,1,2018-03-16,10.00,55.48,65.48,3
260357179975,112,2,2018-04-16,9.44,55.56,65.00,3
260357179975,112,3,2018-05-16,8.89,55.56,64.44,3
260357179975,112,4,2018-06-16,8.33,55.56,63.89,3
260357179975,112,5,2018-07-16,7.78,55.56,63.33,3
260357179975,112,6,2018-08-16,7.22,55.56,62.78,3
260357179975,112,7,2018-09-16,6.67,55.56,62.22,3
260357179975,112,8,2018-10-16,6.11,55.56,61.67,3
260357179975,112,9,2018-11-16,5.56,55.56,61.11,3
260357179975,112,10,2018-12-16,5.00,55.56,60.56,3
251328845116,108,1,2018-05-10,260.00,8666.66,8926.66,3
251328845116,108,2,2018-06-10,173.33,8666.67,8840.00,3
251328845116,108,3,2018-07-10,86.67,8666.67,8753.33,3
110708389212,104,4,2018-09-24,5720.00,0.00,5720.00,3
110708389212,104,5,2018-10-24,5720.00,0.00,5720.00,3
110708389212,104,6,2018-11-24,5720.00,0.00,5720.00,3
110708389212,104,7,2018-12-24,5720.00,0.00,5720.00,3
260318710663,112,1,2018-02-14,287.00,3416.63,3703.63,3
260318710663,112,2,2018-03-14,263.08,3416.67,3679.75,3
260318710663,112,3,2018-04-14,239.17,3416.67,3655.83,3
260318710663,112,4,2018-05-14,215.25,3416.67,3631.92,3
260318710663,112,5,2018-06-14,191.33,3416.67,3608.00,3
260318710663,112,6,2018-07-14,167.42,3416.67,3584.08,3
260318710663,112,7,2018-08-14,143.50,3416.67,3560.17,3
260318710663,112,8,2018-09-14,119.58,3416.67,3536.25,3
260318710663,112,9,2018-10-14,95.67,3416.67,3512.33,3
260318710663,112,10,2018-11-14,71.75,3416.67,3488.42,3
260318710663,112,11,2018-12-14,47.83,3416.67,3464.50,3
231906937691,107,4,2018-11-04,2927.03,161641.01,164568.04,3
231906937691,107,5,2018-12-04,1957.18,162610.86,164568.04,3
180358902226,106,6,2018-07-02,275.70,1324.80,1600.50,3
180358902226,106,7,2018-08-02,262.45,1338.05,1600.50,3
180358902226,106,8,2018-09-02,249.07,1351.43,1600.50,3
180358902226,106,9,2018-10-02,235.56,1364.94,1600.50,3
180358902226,106,10,2018-11-02,221.91,1378.59,1600.50,3
180358902226,106,11,2018-12-02,208.12,1392.38,1600.50,3
060551650484,120,3,2018-08-29,108.08,3819.72,3927.80,3
060551650484,120,4,2018-09-29,81.34,3846.46,3927.80,3
060551650484,120,5,2018-10-29,54.42,3873.38,3927.80,3
060551650484,120,6,2018-11-29,27.33,3900.47,3927.80,3
240786748722,112,6,2018-08-22,862.33,11055.56,11917.89,3
240786748722,112,7,2018-09-22,796.00,11055.56,11851.56,3
240786748722,112,8,2018-10-22,729.67,11055.56,11785.22,3
240786748722,112,9,2018-11-22,663.33,11055.56,11718.89,3
240786748722,112,10,2018-12-22,597.00,11055.56,11652.56,3
060823613670,114,5,2018-10-29,504.00,0.00,504.00,3
060823613670,114,6,2018-11-29,504.00,56000.00,56504.00,3
200512130174,110,2,2018-04-14,3441.93,67475.45,70917.38,3
200512130174,110,3,2018-05-14,2767.17,68150.21,70917.38,3
200512130174,110,4,2018-06-14,2085.67,68831.71,70917.38,3
200512130174,110,5,2018-07-14,1397.35,69520.03,70917.38,3
200512130174,110,6,2018-08-14,702.16,70215.22,70917.38,3
071197895034,103,1,2018-03-10,564.00,5222.26,5786.26,3
071197895034,103,2,2018-04-10,532.67,5222.22,5754.89,3
071197895034,103,3,2018-05-10,501.33,5222.22,5723.56,3
071197895034,103,4,2018-06-10,470.00,5222.22,5692.22,3
071197895034,103,5,2018-07-10,438.67,5222.22,5660.89,3
071197895034,103,6,2018-08-10,407.33,5222.22,5629.56,3
071197895034,103,7,2018-09-10,376.00,5222.22,5598.22,3
071197895034,103,8,2018-10-10,344.67,5222.22,5566.89,3
071197895034,103,9,2018-11-10,313.33,5222.22,5535.56,3
071197895034,103,10,2018-12-10,282.00,5222.22,5504.22,3
060873625001,114,1,2018-05-01,738.00,0.00,738.00,3
060873625001,114,2,2018-06-01,738.00,0.00,738.00,3
060873625001,114,3,2018-07-01,738.00,0.00,738.00,3
060873625001,114,4,2018-08-01,738.00,0.00,738.00,3
060873625001,114,5,2018-09-01,738.00,0.00,738.00,3
060873625001,114,6,2018-10-01,738.00,0.00,738.00,3
060873625001,114,7,2018-11-01,738.00,0.00,738.00,3
060873625001,114,8,2018-12-01,738.00,0.00,738.00,3
251888851491,120,2,2018-04-23,1290.69,5640.05,6930.74,3
251888851491,120,3,2018-05-23,1239.93,5690.81,6930.74,3
251888851491,120,4,2018-06-23,1188.71,5742.03,6930.74,3
251888851491,120,5,2018-07-23,1137.04,5793.70,6930.74,3
251888851491,120,6,2018-08-23,1084.89,5845.85,6930.74,3
251888851491,120,7,2018-09-23,1032.28,5898.46,6930.74,3
251888851491,120,8,2018-10-23,979.19,5951.55,6930.74,3
251888851491,120,9,2018-11-23,925.63,6005.11,6930.74,3
251888851491,120,10,2018-12-23,871.58,6059.16,6930.74,3
070537047611,100,4,2018-11-13,1158.33,7722.22,8880.56,3
070537047611,100,5,2018-12-13,1081.11,7722.22,8803.33,3
260531208160,105,1,2018-05-09,32304.00,1335289.20,1367593.20,3
260531208160,105,2,2018-06-09,21621.69,1345971.51,1367593.20,3
260531208160,105,3,2018-07-09,10853.91,1356739.29,1367593.20,3
170701206147,119,4,2018-07-04,8225.00,39166.67,47391.67,3
170701206147,119,5,2018-08-04,7833.33,39166.67,47000.00,3
170701206147,119,6,2018-09-04,7441.67,39166.67,46608.33,3
170701206147,119,7,2018-10-04,7050.00,39166.67,46216.67,3
170701206147,119,8,2018-11-04,6658.33,39166.67,45825.00,3
170701206147,119,9,2018-12-04,6266.67,39166.67,45433.33,3
230979414571,104,3,2018-05-06,343.00,0.00,343.00,3
230979414571,104,4,2018-06-06,343.00,0.00,343.00,3
230979414571,104,5,2018-07-06,343.00,0.00,343.00,3
230979414571,104,6,2018-08-06,343.00,0.00,343.00,3
230979414571,104,7,2018-09-06,343.00,0.00,343.00,3
230979414571,104,8,2018-10-06,343.00,0.00,343.00,3
230979414571,104,9,2018-11-06,343.00,0.00,343.00,3
230979414571,104,10,2018-12-06,343.00,0.00,343.00,3
301159661476,103,4,2018-06-09,6304.00,0.00,6304.00,3
301159661476,103,5,2018-07-09,6304.00,0.00,6304.00,3
301159661476,103,6,2018-08-09,6304.00,0.00,6304.00,3
301159661476,103,7,2018-09-09,6304.00,0.00,6304.00,3
301159661476,103,8,2018-10-09,6304.00,0.00,6304.00,3
301159661476,103,9,2018-11-09,6304.00,0.00,6304.00,3
301159661476,103,10,2018-12-09,6304.00,0.00,6304.00,3
251675454712,105,2,2018-08-23,19611.31,169547.76,189159.07,3
251675454712,105,3,2018-09-23,17915.83,171243.24,189159.07,3
251675454712,105,4,2018-10-23,16203.40,172955.67,189159.07,3
251675454712,105,5,2018-11-23,14473.84,174685.23,189159.07,3
251675454712,105,6,2018-12-23,12726.99,176432.08,189159.07,3
251198634145,100,1,2018-06-22,1246.00,0.00,1246.00,3
251198634145,100,2,2018-07-22,1246.00,0.00,1246.00,3
251198634145,100,3,2018-08-22,1246.00,0.00,1246.00,3
251198634145,100,4,2018-09-22,1246.00,0.00,1246.00,3
251198634145,100,5,2018-10-22,1246.00,0.00,1246.00,3
251198634145,100,6,2018-11-22,1246.00,0.00,1246.00,3
251198634145,100,7,2018-12-22,1246.00,0.00,1246.00,3
300855664265,108,2,2018-06-20,127.30,6333.12,6460.42,3
300855664265,108,3,2018-07-20,63.96,6396.46,6460.42,3
130995811268,113,2,2018-07-03,65.33,4666.67,4732.00,3
130995811268,113,3,2018-08-03,32.67,4666.67,4699.33,3
110221737097,104,4,2018-07-31,5413.33,45111.11,50524.44,3
110221737097,104,5,2018-08-31,5052.44,45111.11,50163.56,3
110221737097,104,6,2018-09-30,4691.56,45111.11,49802.67,3
110221737097,104,7,2018-10-31,4330.67,45111.11,49441.78,3
110221737097,104,8,2018-11-30,3969.78,45111.11,49080.89,3
211038376188,105,1,2018-08-12,4697.00,27958.41,32655.41,3
211038376188,105,2,2018-09-12,4501.29,27958.33,32459.62,3
211038376188,105,3,2018-10-12,4305.58,27958.33,32263.92,3
211038376188,105,4,2018-11-12,4109.88,27958.33,32068.21,3
211038376188,105,5,2018-12-12,3914.17,27958.33,31872.50,3
290286708816,110,10,2018-12-12,16.58,685.26,701.84,3
180478072812,114,1,2018-06-24,126.00,719.97,845.97,3
180478072812,114,2,2018-07-24,119.52,726.45,845.97,3
180478072812,114,3,2018-08-24,112.98,732.99,845.97,3
180478072812,114,4,2018-09-24,106.39,739.58,845.97,3
180478072812,114,5,2018-10-24,99.73,746.24,845.97,3
180478072812,114,6,2018-11-24,93.01,752.96,845.97,3
180478072812,114,7,2018-12-24,86.24,759.73,845.97,3
170474851950,120,3,2018-04-22,50.00,5000.00,5050.00,3
140418501711,102,5,2018-08-04,2790.00,0.00,2790.00,3
140418501711,102,6,2018-09-04,2790.00,279000.00,281790.00,3
150415607742,104,4,2018-11-19,930.00,0.00,930.00,3
150415607742,104,5,2018-12-19,930.00,0.00,930.00,3
201448609018,107,3,2018-06-01,107.33,15333.33,15440.67,3
071238658300,109,5,2018-08-27,12.00,1000.00,1012.00,3
071238658300,109,6,2018-09-27,6.00,1000.00,1006.00,3
