协议编号,借据编号,借据金额,借据币种,剩余本金,借据利率,借据期限,期限单位,还款方式,还款顺序,罚息利率,提前还款标志,提前还款费率,展期标志,展期费率,生效日期,到期日期,借据状态,欠款期数,起欠期数,欠还利息,欠还本金,欠还金额
090886924761,108,1039000.00,156,1039000.00,10.8,6,1,1,0,1.5,0,1.0,1,0.0,2018-03-27,2018-09-27,0,0,0,0.00,0.00,0.00
201827881794,102,918000.00,156,918000.00,9.6,3,1,2,0,1.0,0,1.0,0,3.0,2018-06-27,2018-09-27,0,0,0,0.00,0.00,0.00
270434724966,104,1939000.00,156,1939000.00,9.6,24,1,2,0,1.5,0,2.0,1,0.0,2018-02-25,2020-02-25,0,0,0,0.00,0.00,0.00
160961820575,103,394000.00,156,394000.00,7.2,3,1,0,0,1.5,0,2.0,1,0.0,2018-01-08,2018-04-08,0,0,0,0.00,0.00,0.00
080732053518,103,11000.00,156,11000.00,9.6,18,1,1,0,1.2,0,3.0,1,0.0,2018-02-03,2019-08-03,0,0,0,0.00,0.00,0.00
190637836680,116,1095000.00,156,1095000.00,7.2,12,1,2,0,0.8,0,1.0,1,0.0,2018-03-21,2019-03-21,0,0,0,0.00,0.00,0.00
130867069416,116,62000.00,156,62000.00,10.8,24,1,2,0,1.0,1,0.0,1,0.0,2018-01-01,2020-01-01,0,0,0,0.00,0.00,0.00
180915054666,104,294000.00,156,294000.00,10.8,12,1,0,0,1.2,1,0.0,1,0.0,2018-04-09,2019-04-09,0,0,0,0.00,0.00,0.00
250254341631,116,202000.00,156,202000.00,12.0,6,1,1,0,0.5,0,1.0,0,3.0,2018-01-11,2018-07-11,0,0,0,0.00,0.00,0.00
080472265970,113,39000.00,156,39000.00,10.8,6,1,0,0,1.2,0,2.0,0,4.0,2018-06-04,2018-12-04,0,0,0,0.00,0.00,0.00
410023520576,110,8000.00,156,8000.00,8.4,24,1,2,0,0.8,0,2.0,1,0.0,2018-06-18,2020-06-18,0,0,0,0.00,0.00,0.00
191007088691,114,967000.00,156,967000.00,8.4,18,1,2,0,1.0,1,0.0,0,4.0,2018-07-23,2020-01-23,0,0,0,0.00,0.00,0.00
051248361910,115,2165000.00,156,2165000.00,10.8,18,1,1,0,0.8,0,3.0,1,0.0,2018-01-31,2019-07-31,0,0,0,0.00,0.00,0.00
231096481222,109,9000.00,156,9000.00,12.0,3,1,1,0,0.5,1,0.0,0,5.0,2018-07-01,2018-10-01,0,0,0,0.00,0.00,0.00
261094204083,100,35000.00,156,35000.00,12.0,18,1,1,0,1.2,0,2.0,1,0.0,2018-07-03,2020-01-03,0,0,0,0.00,0.00,0.00
111166728457,113,8000.00,156,8000.00,10.8,3,1,1,0,1.5,1,0.0,1,0.0,2018-07-08,2018-10-08,0,0,0,0.00,0.00,0.00
141001920610,108,49000.00,156,49000.00,9.6,3,1,0,0,1.2,0,3.0,1,0.0,2018-04-20,2018-07-20,0,0,0,0.00,0.00,0.00
080815984146,105,9000.00,156,9000.00,10.8,3,1,0,0,1.0,0,2.0,0,3.0,2018-07-05,2018-10-05,0,0,0,0.00,0.00,0.00
061400574111,103,48000.00,156,48000.00,7.2,18,1,1,0,1.2,0,2.0,0,3.0,2018-03-31,2019-09-30,0,0,0,0.00,0.00,0.00
201931950054,111,905000.00,156,905000.00,7.2,24,1,1,0,0.5,1,0.0,1,0.0,2018-07-30,2020-07-30,0,0,0,0.00,0.00,0.00
060791511349,105,5000.00,156,5000.00,8.4,24,1,2,0,1.0,0,1.0,0,3.0,2018-07-06,2020-07-06,0,0,0,0.00,0.00,0.00
121128016969,107,1172000.00,156,1172000.00,8.4,12,1,2,0,0.5,1,0.0,1,0.0,2018-07-19,2019-07-19,0,0,0,0.00,0.00,0.00
110665731519,109,47000.00,156,47000.00,9.6,24,1,2,0,0.5,0,2.0,0,4.0,2018-01-25,2020-01-25,0,0,0,0.00,0.00,0.00
202069002334,102,1147000.00,156,1147000.00,9.6,3,1,2,0,0.5,1,0.0,0,3.0,2018-07-09,2018-10-09,0,0,0,0.00,0.00,0.00
121140069588,119,50000.00,156,50000.00,10.8,12,1,1,0,0.5,0,3.0,0,5.0,2018-03-09,2019-03-09,0,0,0,0.00,0.00,0.00
160951470721,113,400000.00,156,400000.00,12.0,24,1,2,0,1.2,0,2.0,0,3.0,2018-03-05,2020-03-05,0,0,0,0.00,0.00,0.00
130589957834,115,119000.00,156,119000.00,8.4,18,1,2,0,1.2,0,3.0,0,4.0,2018-02-11,2019-08-11,0,0,0,0.00,0.00,0.00
240768496895,101,32000.00,156,32000.00,10.8,6,1,0,0,1.5,1,0.0,1,0.0,2018-05-21,2018-11-21,0,0,0,0.00,0.00,0.00
140662387592,113,760000.00,156,760000.00,12.0,12,1,0,0,1.2,0,1.0,0,5.0,2018-07-07,2019-07-07,0,0,0,0.00,0.00,0.00
231497379882,120,1167000.00,156,1167000.00,10.8,3,1,2,0,1.0,1,0.0,1,0.0,2018-01-13,2018-04-13,0,0,0,0.00,0.00,0.00
060945501503,106,191000.00,156,191000.00,12.0,3,1,1,0,1.0,0,2.0,0,4.0,2018-03-19,2018-06-19,0,0,0,0.00,0.00,0.00
080379596270,119,28000.00,156,28000.00,8.4,3,1,1,0,0.8,1,0.0,1,0.0,2018-02-02,2018-05-02,0,0,0,0.00,0.00,0.00
271005271521,115,832000.00,156,832000.00,8.4,3,1,2,0,0.8,1,0.0,1,0.0,2018-03-22,2018-06-22,0,0,0,0.00,0.00,0.00
131195315423,103,2710000.00,156,2710000.00,10.8,6,1,1,0,1.5,1,0.0,1,0.0,2018-05-23,2018-11-23,0,0,0,0.00,0.00,0.00
141038176904,104,11000.00,156,11000.00,8.4,3,1,1,0,0.8,0,3.0,1,0.0,2018-05-04,2018-08-04,0,0,0,0.00,0.00,0.00
270762870858,105,732000.00,156,732000.00,12.0,24,1,2,0,1.0,0,3.0,1,0.0,2018-05-23,2020-05-23,0,0,0,0.00,0.00,0.00
160608671990,107,1337000.00,156,1337000.00,10.8,18,1,2,0,0.8,1,0.0,1,0.0,2018-04-08,2019-10-08,0,0,0,0.00,0.00,0.00
060905881222,106,744000.00,156,744000.00,12.0,24,1,0,0,1.5,0,1.0,0,5.0,2018-06-18,2020-06-18,0,0,0,0.00,0.00,0.00
231039857513,113,480000.00,156,480000.00,12.0,6,1,0,0,0.5,1,0.0,1,0.0,2018-01-14,2018-07-14,0,0,0,0.00,0.00,0.00
120226474647,112,536000.00,156,536000.00,8.4,3,1,2,0,0.8,0,1.0,1,0.0,2018-06-13,2018-09-13,0,0,0,0.00,0.00,0.00
320234962360,101,340000.00,156,340000.00,8.4,24,1,1,0,0.8,1,0.0,1,0.0,2018-07-26,2020-07-26,0,0,0,0.00,0.00,0.00
271040669594,115,378000.00,156,378000.00,10.8,6,1,2,0,1.5,0,2.0,0,3.0,2018-02-13,2018-08-13,0,0,0,0.00,0.00,0.00
280622268026,112,198000.00,156,198000.00,8.4,3,1,0,0,1.2,1,0.0,1,0.0,2018-03-05,2018-06-05,0,0,0,0.00,0.00,0.00
271247961071,102,81000.00,156,81000.00,12.0,6,1,1,0,0.8,0,2.0,1,0.0,2018-05-28,2018-11-28,0,0,0,0.00,0.00,0.00
210448750926,119,1755000.00,156,1755000.00,12.0,18,1,0,0,1.2,1,0.0,1,0.0,2018-02-15,2019-08-15,0,0,0,0.00,0.00,0.00
111073041317,108,119000.00,156,119000.00,12.0,24,1,0,0,1.5,0,3.0,1,0.0,2018-03-16,2020-03-16,0,0,0,0.00,0.00,0.00
301040322110,109,855000.00,156,855000.00,8.4,3,1,0,0,0.8,0,1.0,0,5.0,2018-03-19,2018-06-19,0,0,0,0.00,0.00,0.00
150729277807,103,15000.00,156,15000.00,12.0,3,1,2,0,1.2,0,3.0,1,0.0,2018-01-14,2018-04-14,0,0,0,0.00,0.00,0.00
210242528174,107,1639000.00,156,1639000.00,7.2,6,1,2,0,0.8,1,0.0,0,3.0,2018-05-04,2018-11-04,0,0,0,0.00,0.00,0.00
111772862422,113,5000.00,156,5000.00,7.2,6,1,1,0,0.8,1,0.0,1,0.0,2018-05-03,2018-11-03,0,0,0,0.00,0.00,0.00
440257087254,114,332000.00,156,332000.00,10.8,3,1,2,0,0.5,1,0.0,1,0.0,2018-04-30,2018-07-30,0,0,0,0.00,0.00,0.00
231456346090,101,461000.00,156,461000.00,8.4,3,1,1,0,1.5,0,1.0,0,4.0,2018-03-10,2018-06-10,0,0,0,0.00,0.00,0.00
232096980152,109,75000.00,156,75000.00,7.2,6,1,1,0,0.8,1,0.0,0,3.0,2018-07-09,2019-01-09,0,0,0,0.00,0.00,0.00
040742108053,116,86000.00,156,86000.00,8.4,12,1,1,0,1.2,0,3.0,1,0.0,2018-02-26,2019-02-26,0,0,0,0.00,0.00,0.00
170421848610,119,157000.00,156,157000.00,7.2,24,1,2,0,1.5,0,1.0,0,4.0,2018-06-28,2020-06-28,0,0,0,0.00,0.00,0.00
180570725660,111,914000.00,156,914000.00,8.4,18,1,1,0,1.0,0,2.0,0,5.0,2018-02-04,2019-08-04,0,0,0,0.00,0.00,0.00
040990799379,112,2167000.00,156,2167000.00,10.8,24,1,2,0,1.0,0,3.0,0,4.0,2018-07-13,2020-07-13,0,0,0,0.00,0.00,0.00
271083738617,103,68000.00,156,68000.00,12.0,12,1,1,0,1.0,1,0.0,1,0.0,2018-04-08,2019-04-08,0,0,0,0.00,0.00,0.00
230762101043,113,2053000.00,156,2053000.00,9.6,24,1,1,0,1.2,0,3.0,0,5.0,2018-05-30,2020-05-30,0,0,0,0.00,0.00,0.00
060278695408,115,52000.00,156,52000.00,9.6,3,1,1,0,0.8,1,0.0,1,0.0,2018-06-27,2018-09-27,0,0,0,0.00,0.00,0.00
171335629400,111,596000.00,156,596000.00,10.8,3,1,2,0,1.5,0,3.0,0,5.0,2018-04-08,2018-07-08,0,0,0,0.00,0.00,0.00
070894267216,118,48000.00,156,48000.00,7.2,18,1,0,0,0.8,1,0.0,1,0.0,2018-04-16,2019-10-16,0,0,0,0.00,0.00,0.00
120357743696,104,67000.00,156,67000.00,8.4,6,1,2,0,1.5,1,0.0,0,3.0,2018-03-22,2018-09-22,0,0,0,0.00,0.00,0.00
080685365641,107,21000.00,156,21000.00,7.2,3,1,1,0,1.5,0,2.0,1,0.0,2018-07-26,2018-10-26,0,0,0,0.00,0.00,0.00
171775741420,116,8000.00,156,8000.00,9.6,6,1,1,0,1.0,0,2.0,0,3.0,2018-05-12,2018-11-12,0,0,0,0.00,0.00,0.00
140981056315,106,486000.00,156,486000.00,9.6,6,1,1,0,1.2,0,1.0,1,0.0,2018-01-30,2018-07-30,0,0,0,0.00,0.00,0.00
251643391513,113,47000.00,156,47000.00,8.4,24,1,0,0,0.8,0,1.0,0,3.0,2018-01-30,2020-01-30,0,0,0,0.00,0.00,0.00
200385881361,111,3510000.00,156,3510000.00,8.4,12,1,0,0,0.8,0,1.0,0,5.0,2018-03-13,2019-03-13,0,0,0,0.00,0.00,0.00
270925478293,102,2355000.00,156,2355000.00,9.6,3,1,0,0,1.0,0,3.0,1,0.0,2018-02-10,2018-05-10,0,0,0,0.00,0.00,0.00
180426250247,103,2982000.00,156,2982000.00,8.4,12,1,1,0,0.8,1,0.0,1,0.0,2018-06-13,2019-06-13,0,0,0,0.00,0.00,0.00
271122461979,120,42000.00,156,42000.00,7.2,6,1,2,0,1.5,0,3.0,1,0.0,2018-04-21,2018-10-21,0,0,0,0.00,0.00,0.00
170728943884,101,31000.00,156,31000.00,10.8,18,1,1,0,1.0,1,0.0,1,0.0,2018-05-02,2019-11-02,0,0,0,0.00,0.00,0.00
232067678132,117,222000.00,156,222000.00,10.8,18,1,1,0,0.8,0,2.0,1,0.0,2018-03-04,2019-09-04,0,0,0,0.00,0.00,0.00
250770744580,110,2580000.00,156,2580000.00,12.0,12,1,2,0,1.2,0,3.0,1,0.0,2018-04-18,2019-04-18,0,0,0,0.00,0.00,0.00
230767912118,105,3000.00,156,3000.00,7.2,3,1,2,0,1.0,0,3.0,0,4.0,2018-04-23,2018-07-23,0,0,0,0.00,0.00,0.00
150307747977,104,29000.00,156,29000.00,9.6,18,1,0,0,0.8,0,2.0,1,0.0,2018-02-22,2019-08-22,0,0,0,0.00,0.00,0.00
110888546839,118,2843000.00,156,2843000.00,7.2,3,1,2,0,1.0,0,3.0,1,0.0,2018-01-12,2018-04-12,0,0,0,0.00,0.00,0.00
240904788137,103,1710000.00,156,1710000.00,12.0,3,1,1,0,0.8,0,2.0,1,0.0,2018-03-26,2018-06-26,0,0,0,0.00,0.00,0.00
110492400896,115,14000.00,156,14000.00,8.4,18,1,1,0,1.0,0,3.0,1,0.0,2018-03-15,2019-09-15,0,0,0,0.00,0.00,0.00
170859543440,115,19000.00,156,19000.00,8.4,12,1,0,0,1.2,1,0.0,0,5.0,2018-05-21,2019-05-21,0,0,0,0.00,0.00,0.00
240272970331,104,503000.00,156,503000.00,12.0,3,1,1,0,0.8,0,3.0,1,0.0,2018-03-21,2018-06-21,0,0,0,0.00,0.00,0.00
290233905801,108,54000.00,156,54000.00,9.6,24,1,0,0,0.8,0,1.0,1,0.0,2018-02-04,2020-02-04,0,0,0,0.00,0.00,0.00
160846117740,115,959000.00,156,959000.00,8.4,6,1,0,0,0.5,0,1.0,0,3.0,2018-07-06,2019-01-06,0,0,0,0.00,0.00,0.00
430131910347,119,955000.00,156,955000.00,10.8,6,1,1,0,1.5,0,2.0,1,0.0,2018-04-30,2018-10-30,0,0,0,0.00,0.00,0.00
240765236809,120,61000.00,156,61000.00,7.2,24,1,0,0,0.8,1,0.0,0,5.0,2018-03-05,2020-03-05,0,0,0,0.00,0.00,0.00
240552918898,120,23000.00,156,23000.00,7.2,24,1,1,0,1.2,1,0.0,1,0.0,2018-04-14,2020-04-14,0,0,0,0.00,0.00,0.00
071571260808,108,37000.00,156,37000.00,10.8,3,1,0,0,1.0,0,3.0,0,3.0,2018-02-03,2018-05-03,0,0,0,0.00,0.00,0.00
260468539506,116,1889000.00,156,1889000.00,8.4,24,1,0,0,0.5,1,0.0,1,0.0,2018-02-18,2020-02-18,0,0,0,0.00,0.00,0.00
250256945847,102,12000.00,156,12000.00,7.2,12,1,0,0,1.2,1,0.0,0,4.0,2018-06-01,2019-06-01,0,0,0,0.00,0.00,0.00
210744943061,105,808000.00,156,808000.00,7.2,6,1,0,0,0.8,1,0.0,0,3.0,2018-03-11,2018-09-11,0,0,0,0.00,0.00,0.00
200971891222,102,396000.00,156,396000.00,8.4,12,1,2,0,1.0,0,1.0,0,3.0,2018-06-09,2019-06-09,0,0,0,0.00,0.00,0.00
290571558677,105,6000.00,156,6000.00,7.2,12,1,0,0,0.5,1,0.0,1,0.0,2018-01-06,2019-01-06,0,0,0,0.00,0.00,0.00
171573646956,105,1744000.00,156,1744000.00,12.0,24,1,0,0,1.5,1,0.0,0,4.0,2018-04-29,2020-04-29,0,0,0,0.00,0.00,0.00
040479299025,109,930000.00,156,930000.00,9.6,6,1,1,0,0.8,1,0.0,1,0.0,2018-03-31,2018-09-30,0,0,0,0.00,0.00,0.00
090392748704,100,58000.00,156,58000.00,8.4,18,1,2,0,1.5,1,0.0,1,0.0,2018-04-11,2019-10-11,0,0,0,0.00,0.00,0.00
251842156314,103,38000.00,156,38000.00,7.2,3,1,2,0,0.5,1,0.0,1,0.0,2018-07-30,2018-10-30,0,0,0,0.00,0.00,0.00
370009337048,103,43000.00,156,43000.00,12.0,6,1,2,0,1.5,1,0.0,1,0.0,2018-07-23,2019-01-23,0,0,0,0.00,0.00,0.00
271185736871,119,17000.00,156,17000.00,9.6,12,1,0,0,1.2,0,3.0,0,5.0,2018-01-02,2019-01-02,0,0,0,0.00,0.00,0.00
251587408001,102,1536000.00,156,1536000.00,12.0,12,1,0,0,0.8,0,3.0,1,0.0,2018-06-28,2019-06-28,0,0,0,0.00,0.00,0.00
231901185992,103,2220000.00,156,2220000.00,7.2,6,1,1,0,1.0,0,2.0,0,4.0,2018-04-05,2018-10-05,0,0,0,0.00,0.00,0.00
161489284034,114,138000.00,156,138000.00,10.8,12,1,0,0,1.0,0,2.0,0,3.0,2018-01-24,2019-01-24,0,0,0,0.00,0.00,0.00
250498258061,109,605000.00,156,605000.00,10.8,24,1,2,0,0.5,1,0.0,1,0.0,2018-01-16,2020-01-16,0,0,0,0.00,0.00,0.00
370009106954,105,20000.00,156,20000.00,7.2,24,1,0,0,1.5,0,3.0,1,0.0,2018-01-30,2020-01-30,0,0,0,0.00,0.00,0.00
171883832987,106,350000.00,156,350000.00,10.8,12,1,0,0,1.5,1,0.0,0,3.0,2018-05-17,2019-05-17,0,0,0,0.00,0.00,0.00
040506095275,116,33000.00,156,33000.00,9.6,12,1,2,0,1.2,1,0.0,1,0.0,2018-05-01,2019-05-01,0,0,0,0.00,0.00,0.00
190275536099,104,591000.00,156,591000.00,7.2,24,1,0,0,1.0,1,0.0,1,0.0,2018-01-12,2020-01-12,0,0,0,0.00,0.00,0.00
180383344045,100,45000.00,156,45000.00,10.8,12,1,0,0,0.5,0,1.0,0,3.0,2018-04-30,2019-04-30,0,0,0,0.00,0.00,0.00
070723281798,116,391000.00,156,391000.00,8.4,24,1,1,0,0.5,0,3.0,0,3.0,2018-05-13,2020-05-13,0,0,0,0.00,0.00,0.00
400073890854,113,44000.00,156,44000.00,12.0,6,1,0,0,0.8,1,0.0,1,0.0,2018-07-28,2019-01-28,0,0,0,0.00,0.00,0.00
140524822699,114,24000.00,156,24000.00,12.0,6,1,0,0,0.8,1,0.0,1,0.0,2018-01-19,2018-07-19,0,0,0,0.00,0.00,0.00
050571797897,102,186000.00,156,186000.00,10.8,18,1,0,0,1.5,1,0.0,1,0.0,2018-05-14,2019-11-14,0,0,0,0.00,0.00,0.00
300989293608,105,955000.00,156,955000.00,7.2,3,1,0,0,0.5,1,0.0,1,0.0,2018-02-09,2018-05-09,0,0,0,0.00,0.00,0.00
171627366843,102,1310000.00,156,1310000.00,7.2,6,1,1,0,0.5,1,0.0,0,3.0,2018-07-21,2019-01-21,0,0,0,0.00,0.00,0.00
110435135207,106,1044000.00,156,1044000.00,7.2,12,1,2,0,0.5,1,0.0,1,0.0,2018-07-10,2019-07-10,0,0,0,0.00,0.00,0.00
060366185851,118,778000.00,156,778000.00,8.4,18,1,2,0,1.0,0,2.0,1,0.0,2018-05-12,2019-11-12,0,0,0,0.00,0.00,0.00
251138338258,117,812000.00,156,812000.00,10.8,18,1,0,0,1.2,1,0.0,0,3.0,2018-05-10,2019-11-10,0,0,0,0.00,0.00,0.00
130603923542,106,578000.00,156,578000.00,7.2,3,1,0,0,0.8,1,0.0,1,0.0,2018-06-09,2018-09-09,0,0,0,0.00,0.00,0.00
200507232763,102,26000.00,156,26000.00,7.2,12,1,0,0,0.8,1,0.0,1,0.0,2018-02-02,2019-02-02,0,0,0,0.00,0.00,0.00
271033870726,117,8000.00,156,8000.00,10.8,18,1,0,0,0.5,1,0.0,0,5.0,2018-06-24,2019-12-24,0,0,0,0.00,0.00,0.00
290324110609,107,291000.00,156,291000.00,7.2,24,1,1,0,1.2,1,0.0,1,0.0,2018-03-23,2020-03-23,0,0,0,0.00,0.00,0.00
080340692263,119,462000.00,156,462000.00,7.2,24,1,1,0,1.2,1,0.0,1,0.0,2018-03-17,2020-03-17,0,0,0,0.00,0.00,0.00
091325351152,110,1726000.00,156,1726000.00,9.6,12,1,2,0,1.5,1,0.0,1,0.0,2018-02-17,2019-02-17,0,0,0,0.00,0.00,0.00
060885007030,119,1611000.00,156,1611000.00,10.8,24,1,1,0,1.0,0,3.0,0,5.0,2018-05-31,2020-05-31,0,0,0,0.00,0.00,0.00
131019343452,107,22000.00,156,22000.00,10.8,3,1,1,0,0.5,0,2.0,0,3.0,2018-01-05,2018-04-05,0,0,0,0.00,0.00,0.00
250551204083,106,7000.00,156,7000.00,7.2,3,1,1,0,1.2,0,3.0,1,0.0,2018-06-16,2018-09-16,0,0,0,0.00,0.00,0.00
170637933731,101,100000.00,156,100000.00,8.4,12,1,1,0,0.8,1,0.0,1,0.0,2018-04-18,2019-04-18,0,0,0,0.00,0.00,0.00
270853208546,105,88000.00,156,88000.00,8.4,12,1,2,0,1.0,1,0.0,1,0.0,2018-03-04,2019-03-04,0,0,0,0.00,0.00,0.00
040398486237,103,27000.00,156,27000.00,7.2,3,1,0,0,1.2,0,1.0,0,3.0,2018-01-16,2018-04-16,0,0,0,0.00,0.00,0.00
060804546236,120,102000.00,156,102000.00,10.8,3,1,2,0,0.8,0,3.0,0,4.0,2018-02-04,2018-05-04,0,0,0,0.00,0.00,0.00
061006862879,107,9000.00,156,9000.00,8.4,24,1,1,0,0.8,1,0.0,0,4.0,2018-03-04,2020-03-04,0,0,0,0.00,0.00,0.00
251295665560,101,684000.00,156,684000.00,12.0,6,1,1,0,1.0,1,0.0,1,0.0,2018-03-09,2018-09-09,0,0,0,0.00,0.00,0.00
231778331486,108,22000.00,156,22000.00,8.4,24,1,2,0,0.8,0,3.0,1,0.0,2018-05-11,2020-05-11,0,0,0,0.00,0.00,0.00
240310618051,120,156000.00,156,156000.00,12.0,6,1,1,0,0.8,0,1.0,0,5.0,2018-06-05,2018-12-05,0,0,0,0.00,0.00,0.00
110296867848,102,2708000.00,156,2708000.00,12.0,6,1,2,0,1.5,1,0.0,0,4.0,2018-01-09,2018-07-09,0,0,0,0.00,0.00,0.00
180530596996,120,637000.00,156,637000.00,7.2,12,1,0,0,1.0,0,1.0,1,0.0,2018-06-26,2019-06-26,0,0,0,0.00,0.00,0.00
080894493486,117,3482000.00,156,3482000.00,12.0,3,1,1,0,1.2,0,3.0,1,0.0,2018-04-08,2018-07-08,0,0,0,0.00,0.00,0.00
201757961408,111,36000.00,156,36000.00,10.8,3,1,1,0,1.5,0,3.0,0,5.0,2018-05-25,2018-08-25,0,0,0,0.00,0.00,0.00
110881068119,111,909000.00,156,909000.00,7.2,24,1,2,0,1.5,0,2.0,0,3.0,2018-05-10,2020-05-10,0,0,0,0.00,0.00,0.00
190460758397,116,392000.00,156,392000.00,7.2,6,1,2,0,0.8,1,0.0,0,3.0,2018-02-22,2018-08-22,0,0,0,0.00,0.00,0.00
301658058514,112,165000.00,156,165000.00,10.8,12,1,0,0,1.0,0,1.0,0,4.0,2018-06-14,2019-06-14,0,0,0,0.00,0.00,0.00
070478044464,103,65000.00,156,65000.00,12.0,12,1,0,0,1.2,1,0.0,0,3.0,2018-04-15,2019-04-15,0,0,0,0.00,0.00,0.00
130884407259,119,2751000.00,156,2751000.00,9.6,6,1,2,0,1.2,0,2.0,0,5.0,2018-06-10,2018-12-10,0,0,0,0.00,0.00,0.00
130664215452,104,4097000.00,156,4097000.00,9.6,12,1,2,0,1.2,0,3.0,1,0.0,2018-06-17,2019-06-17,0,0,0,0.00,0.00,0.00
150943901729,106,12000.00,156,12000.00,9.6,3,1,2,0,0.8,0,1.0,0,4.0,2018-07-31,2018-10-31,0,0,0,0.00,0.00,0.00
430176639868,107,287000.00,156,287000.00,12.0,3,1,1,0,1.5,1,0.0,1,0.0,2018-06-04,2018-09-04,0,0,0,0.00,0.00,0.00
301061870732,113,529000.00,156,529000.00,9.6,6,1,0,0,1.2,0,2.0,0,5.0,2018-03-03,2018-09-03,0,0,0,0.00,0.00,0.00
